file	workflow_name	triggers	job_ids	job_names	schedule	concurrency	environments	permissions	artifacts	retention_days	reusable_workflows	secret_names	mutation_risk	size_bytes
commitlint.yml	Commit Lint	pull_request	commitlint	Validate Commit Messages		commitlint-${{ github.event.pull_request.number }}		permissions: contents: read pull-requests: read					read-only	1465
compliance-audit-export.yml	Compliance Audit Export	push,schedule,workflow_dispatch	export-audit	Export Compliance Evidence	0 0 1 * *	compliance-audit-export	production	permissions: contents: write issues: write	compliance-audit-export	365		GITHUB_TOKEN	write-capable	13742
container-hardening.yml	Container Hardening	pull_request,push,schedule,workflow_dispatch	container-scan,policy-check	Container Vulnerability Scan,Container Policy Check	0 5 * * 1	container-hardening-${{ github.ref }}		permissions: contents: read security-events: write	container-hardening-results	30			write-capable	5305
cosign-sign-verify.yml	Cosign Sign and Verify	pull_request,push,workflow_dispatch	sign,verify	Sign Container Image,Verify Container Signature		cosign-${{ github.ref }}	production	permissions: contents: read id-token: write packages: write	cosign-evidence	90		COSIGN_PASSWORD	write-capable	7751
cost-attribution.yml	Cost Attribution	schedule,workflow_dispatch	collect,report,validate	Collect Cost Data,Generate Cost Attribution Report,Validate Cost Configuration	0 8 * * 1	cost-attribution		permissions: contents: read issues: write	cost-attribution-report	90		AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY,OPENAI_API_KEY	write-capable	13328
cost-optimization.yml	Cost Optimization	pull_request,schedule,workflow_dispatch	analyze,report	Analyze Cost Changes,Generate Cost Optimization Report	0 9 * * 1	cost-optimization-${{ github.ref }}		permissions: contents: read pull-requests: write	cost-optimization-report	30		GITHUB_TOKEN	write-capable	5094
coverage-enforcement.yml	Coverage Enforcement	pull_request,push,schedule	backend-coverage,frontend-coverage,mutation-baseline,summary	Backend Coverage Enforcement,Frontend Coverage Enforcement,Mutation Baseline,Coverage Summary	0 3 * * 1	coverage-enforcement-${{ github.ref }}		permissions: contents: read	coverage-enforcement-results	30			read-only	7059
coverage.yml	Test Coverage	pull_request,push	coverage	Generate Test Coverage		coverage-${{ github.ref }}		permissions: contents: read	coverage-report	14			read-only	3850
create-project-board.yml	Create Project Board	workflow_dispatch	create-board	Create GitHub Project Board		create-project-board-${{ github.run_id }}		permissions: contents: read issues: write repository-projects: write				GITHUB_TOKEN	write-capable	2031
dependabot-auto-merge-guard.yml	Dependabot Auto-Merge Guard	pull_request_target	guard	Guard Dependabot Auto-Merge		dependabot-guard-${{ github.event.pull_request.number }}		permissions: contents: read pull-requests: write				GITHUB_TOKEN	write-capable	2838
dependency-auto-fix.yml	Dependency Auto Fix	schedule,workflow_dispatch	fix-dependencies	Fix Vulnerable Dependencies	0 3 * * 1	dependency-auto-fix		permissions: contents: write pull-requests: write	dependency-auto-fix-report	14		GITHUB_TOKEN	write-capable	4914
dependency-review.yml	Dependency Review	pull_request	dependency-review	Dependency Review		dependency-review-${{ github.event.pull_request.number }}		permissions: contents: read					read-only	1358
deploy-and-publish.yml	Deploy and Publish	push,workflow_dispatch	deploy	Deploy and Publish		deploy-and-publish-${{ github.ref }}	production	permissions: contents: write packages: write	deployment-evidence	30		NPM_TOKEN,VERCEL_TOKEN	deployment-or-mutation	4803
deploy.yml	Deploy	push,workflow_dispatch	deploy,validate	Deploy Application,Validate Deployment		deploy-${{ github.ref }}	production,staging	permissions: contents: read deployments: write	deployment-evidence	30		RAILWAY_TOKEN,VERCEL_TOKEN	deployment-or-mutation	4262
deployment-promotion.yml	Deployment Promotion	workflow_dispatch,workflow_run	approve,promote,rollback,validate	Approve Promotion,Promote Deployment,Rollback Promotion,Validate Promotion Request		deployment-promotion-${{ github.run_id }}	production,staging	permissions: contents: read deployments: write	promotion-evidence	90		GITHUB_TOKEN,RAILWAY_TOKEN,VERCEL_TOKEN	deployment-or-mutation	8959
developer-onboarding.yml	Developer Onboarding	issues,pull_request,push,workflow_dispatch	create-checklist,validate-onboarding,verify-service	Create Onboarding Checklist,Validate Developer Onboarding,Verify Service Configuration		developer-onboarding-${{ github.ref }}		permissions: contents: read issues: write pull-requests: write	developer-onboarding-report	30		GITHUB_TOKEN	write-capable	7046
devonn-deploy.yml	Devonn.AI Deploy	push	deploy	Deploy Devonn.AI		devonn-deploy-${{ github.ref }}	production	permissions: contents: read deployments: write				RAILWAY_TOKEN,VERCEL_TOKEN	deployment-or-mutation	1166
disaster-recovery-drill.yml	Disaster Recovery Drill	schedule,workflow_dispatch	drill,prepare,report,restore,validate	Execute Disaster Recovery Drill,Prepare Drill,Report Results,Restore Services,Validate Recovery	0 2 1 * *	disaster-recovery-${{ github.run_id }}	production	permissions: contents: read issues: write	disaster-recovery-evidence	365		SUPABASE_ACCESS_TOKEN,SUPABASE_DB_PASSWORD	deployment-or-mutation	9216
dora-metrics.yml	DORA Metrics	schedule,workflow_dispatch	collect	Collect DORA Metrics	0 8 * * 1	dora-metrics		permissions: actions: read contents: read deployments: read	dora-metrics-report	90		GITHUB_TOKEN	read-only	10566
e2e-smoke-tests.yml	E2E Smoke Tests	push,schedule,workflow_dispatch	smoke	Production Smoke Tests	*/15 * * * *	e2e-smoke-tests	production	permissions: contents: read	e2e-smoke-results	14		E2E_TEST_EMAIL,E2E_TEST_PASSWORD	read-only	6172
e2e.yml	End-to-End Tests	pull_request,push	e2e	Run End-to-End Tests		e2e-${{ github.ref }}		permissions: contents: read	e2e-results	14			read-only	2412
ebpf-telemetry.yml	eBPF Telemetry	pull_request,push,schedule,workflow_dispatch	telemetry	Collect eBPF Telemetry	0 7 * * 1	ebpf-telemetry-${{ github.ref }}		permissions: contents: read	telemetry-report	30			read-only	8338
edge-functions-typecheck.yml	Edge Functions Typecheck	pull_request,push	typecheck	Typecheck Supabase Edge Functions		edge-functions-${{ github.ref }}		permissions: contents: read					read-only	1934
eks-deploy-oidc.yml	EKS Deploy OIDC	push,workflow_dispatch	build,deploy,verify	Build Image,Deploy to EKS,Verify EKS Deployment		eks-deploy-${{ github.ref }}	production	permissions: contents: read id-token: write packages: write	eks-deployment-evidence	30		AWS_ROLE_ARN	deployment-or-mutation	4433
falco-runtime-detection.yml	Falco Runtime Detection	pull_request,push,schedule,workflow_dispatch	falco-scan,policy-validation	Falco Runtime Policy Validation,Falco Scan	0 8 * * 1	falco-runtime-${{ github.ref }}		permissions: contents: read security-events: write	falco-results	30			write-capable	9529
feature-flags-db-safety.yml	Feature Flags DB Safety	pull_request,push,workflow_dispatch	migration-check,policy-check,rollback-check	Feature Flag Migration Check,Feature Flag Policy Check,Feature Flag Rollback Check		feature-flags-db-${{ github.ref }}		permissions: contents: read	feature-flag-safety-results	14			read-only	9902
final-green-check.yml	Final Green Check	pull_request,workflow_dispatch	final-green	Final Green Check		final-green-${{ github.event.pull_request.number || github.ref }}		permissions: actions: read contents: read pull-requests: read				GITHUB_TOKEN	read-only	1775
gitops-reconciliation.yml	GitOps Reconciliation	pull_request,push,schedule,workflow_dispatch	drift-check,reconcile,verify	GitOps Drift Check,Reconcile Desired State,Verify Reconciliation	*/30 * * * *	gitops-reconciliation-${{ github.ref }}	production	permissions: contents: write deployments: write	gitops-reconciliation-report	30		GITHUB_TOKEN,KUBECONFIG	deployment-or-mutation	7522
governance-drift.yml	Governance Drift Check	pull_request,push	governance-drift	Governance Drift Check		governance-drift-${{ github.ref }}		permissions: contents: read	governance-drift-report	14			read-only	2974
hermes-gate.yml	Hermes Gate	pull_request,push	hermes-gate	Hermes Gate		hermes-gate-${{ github.ref }}		permissions: contents: read					read-only	2581
hermes-v3-gate.yml	Hermes V3 Gate	pull_request,push	hermes-v3-gate	Hermes V3 Gate		hermes-v3-${{ github.ref }}		permissions: contents: read					read-only	1978
iac-drift-detection.yml	IaC Drift Detection	push,schedule,workflow_dispatch	drift	Detect Infrastructure Drift	0 6 * * *	iac-drift-detection	production	permissions: contents: read issues: write	iac-drift-report	30		AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY	write-capable	4814
incident-response.yml	Incident Response	schedule,workflow_dispatch	detect,notify,open-incident	Detect SLO Breach,Notify Responders,Open Incident	*/5 * * * *	incident-response	production	permissions: contents: read issues: write	incident-response-evidence	30		SLACK_WEBHOOK_URL	write-capable	8641
infrastructure-ci-cd.yml	Infrastructure CI/CD	pull_request,push,workflow_dispatch	apply,plan,security,validate	Apply Infrastructure,Plan Infrastructure,Security Scan,Validate Infrastructure		infrastructure-${{ github.ref }}	production,staging	permissions: contents: read id-token: write	infrastructure-plan	30		AWS_ROLE_ARN,TF_API_TOKEN	deployment-or-mutation	17191
issue-tracker-sync.yml	Issue Tracker Sync	workflow_dispatch,workflow_run	create-issue,sync	Create Issue from Workflow,Sync Issue Tracker		issue-tracker-sync-${{ github.run_id }}		permissions: actions: read contents: read issues: write				GITHUB_TOKEN	write-capable	10128
issue-trigger.yml	Issue Trigger	issues	handle	Handle Issue Trigger		issue-trigger-${{ github.event.issue.number }}		permissions: contents: read issues: write				GITHUB_TOKEN	write-capable	2535
kyverno-admission.yml	Kyverno Admission Policies	pull_request,push,schedule,workflow_dispatch	policy-test,validate	Kyverno Policy Tests,Validate Kyverno Policies	0 6 * * 1	kyverno-${{ github.ref }}		permissions: contents: read	kyverno-results	30			read-only	9878
lighthouse.yml	Lighthouse CI	pull_request,push	lighthouse	Lighthouse CI		lighthouse-${{ github.ref }}		permissions: contents: read	lighthouse-results	14			read-only	2240
llm-cost-governance.yml	LLM Cost Governance	push,schedule,workflow_dispatch	cost-report,validate	Generate LLM Cost Report,Validate LLM Cost Configuration	0 6 * * *	llm-cost-governance		permissions: contents: read issues: write	llm-cost-report	30		OPENAI_API_KEY	write-capable	9897
load-test.yml	Load Test	workflow_dispatch,workflow_run	load-test	Run Load Test		load-test-${{ github.run_id }}	staging	permissions: contents: read	load-test-results	14		LOAD_TEST_TOKEN	read-only	2291
lockfile-integrity.yml	Lockfile Integrity	pull_request,push	lockfile-check	Lockfile Integrity Check		lockfile-${{ github.ref }}		permissions: contents: read					read-only	1775
metrics-export.yml	Metrics Export	push,schedule,workflow_dispatch	export	Export Platform Metrics	*/15 * * * *	metrics-export		permissions: contents: write	metrics-export	30		GITHUB_TOKEN	write-capable	10439
ml-anomaly-detection.yml	ML Anomaly Detection	push,schedule,workflow_dispatch	analyze,baseline,report	Analyze Metrics,Build Baseline,Report Anomalies	0 */2 * * *	ml-anomaly-detection		permissions: contents: read issues: write	ml-anomaly-report	30			write-capable	9376
multi-cloud-cost-arbitrage.yml	Multi-Cloud Cost Arbitrage	schedule,workflow_dispatch	analyze	Analyze Multi-Cloud Costs	0 6 * * 1	multi-cloud-cost-arbitrage		permissions: contents: read issues: write	multi-cloud-cost-report	90		AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY,AZURE_CLIENT_ID	write-capable	8859
multi-env-promotion.yml	Multi-Environment Promotion	push,workflow_dispatch	build,promote,smoke,validate,verify	Build Release Artifact,Promote Environment,Smoke Test,Validate Promotion Input,Verify Promotion		multi-env-promotion-${{ github.run_id }}	production,staging	permissions: contents: read deployments: write packages: write	promotion-evidence	90		GITHUB_TOKEN,RAILWAY_TOKEN,VERCEL_TOKEN	deployment-or-mutation	10042
multi-region-failover.yml	Multi-Region Failover	schedule,workflow_dispatch	assess,failover,notify,verify	Assess Regional Health,Execute Failover,Notify Operators,Verify Failover	0 */6 * * *	multi-region-failover-${{ github.run_id }}	production	permissions: contents: read deployments: write issues: write	failover-evidence	90		AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY	deployment-or-mutation	8438
mutation-tests.yml	Mutation Tests	schedule,workflow_dispatch	backend-mutation,frontend-mutation	Backend Mutation Tests,Frontend Mutation Tests	0 4 * * 1	mutation-tests		permissions: contents: read	mutation-test-results	30			read-only	2167
notifications.yml	Notifications	pull_request,push,workflow_dispatch,workflow_run	notify,validate	Send Notification,Validate Notification Input		notifications-${{ github.run_id }}		permissions: actions: read contents: read issues: write				SLACK_WEBHOOK_URL	write-capable	7914
observability.yml	Observability	push,workflow_dispatch,workflow_run	collect,report,validate	Collect Observability Data,Generate Observability Report,Validate Correlation ID		observability-${{ github.run_id }}	production	permissions: actions: read contents: read issues: write	observability-report	30		SENTRY_AUTH_TOKEN	write-capable	11933
oidc-deploy.yml	OIDC Deploy	workflow_dispatch	aws,azure,gcp,validate	Deploy to AWS via OIDC,Deploy to Azure via OIDC,Deploy to GCP via OIDC,Validate Deployment Input		oidc-deploy-${{ github.run_id }}	production	permissions: contents: read id-token: write	deployment-evidence	30		AWS_ROLE_ARN,AZURE_CLIENT_ID,GCP_WORKLOAD_IDENTITY_PROVIDER	deployment-or-mutation	7665
performance-regression.yml	Performance Regression	pull_request,push,schedule,workflow_dispatch	api-performance,frontend-performance,summary	API Performance Regression,Frontend Performance Regression,Performance Summary	0 4 * * *	performance-${{ github.ref }}		permissions: contents: read pull-requests: write	performance-results	30		GITHUB_TOKEN	write-capable	8704
platform-control-plane.yml	Platform Control Plane	workflow_dispatch	control	Execute Platform Control Command		platform-control-${{ github.run_id }}	production	permissions: contents: write deployments: write issues: write	platform-control-evidence	90		GITHUB_TOKEN,RAILWAY_TOKEN,VERCEL_TOKEN	deployment-or-mutation	14028
platform-graduation.yml	Platform Graduation	push,schedule,workflow_dispatch	assess,report,validate	Assess Platform Graduation,Generate Graduation Report,Validate Graduation Criteria	0 6 * * 1	platform-graduation-${{ github.ref }}		permissions: contents: read issues: write	platform-graduation-report	90			write-capable	15188
platform-health-dashboard.yml	Platform Health Dashboard	push,schedule,workflow_dispatch	collect,render	Collect Platform Health,Render Health Dashboard	*/15 * * * *	platform-health-dashboard		permissions: contents: write	platform-health-dashboard	30		GITHUB_TOKEN	write-capable	13187
policy-as-code.yml	Policy as Code	pull_request,push,schedule,workflow_dispatch	policy-test,policy-validate	Policy Tests,Policy Validation	0 4 * * 1	policy-as-code-${{ github.ref }}		permissions: contents: read	policy-results	30			read-only	7391
pr-automation.yml	PR Automation	issues,pull_request,schedule	label,review,stale,summary	Label PR,Review PR Metadata,Stale PR Cleanup,PR Automation Summary	0 9 * * 1	pr-automation-${{ github.run_id }}		permissions: contents: read issues: write pull-requests: write				GITHUB_TOKEN	write-capable	9560
predictive-failure-detection.yml	Predictive Failure Detection	pull_request,push,workflow_dispatch	predict	Predict CI Failure Risk		predictive-failure-${{ github.ref }}		permissions: contents: read pull-requests: write	predictive-failure-report	14		GITHUB_TOKEN	write-capable	8448
promotion.yml	Promotion Validation	push,workflow_dispatch	promote,summary,validate	Promote Release,Promotion Summary,Validate Promotion		promotion-${{ github.run_id }}	production,staging	permissions: contents: read deployments: write	promotion-evidence	90		GITHUB_TOKEN,RAILWAY_TOKEN,VERCEL_TOKEN	deployment-or-mutation	9382
release-notes.yml	Release Notes	push,workflow_dispatch	release-notes	Generate Release Notes		release-notes-${{ github.ref }}		permissions: contents: write				GITHUB_TOKEN	write-capable	7113
release.yml	Release	push	build,release	Build Release,Publish Release		release-${{ github.ref }}	production	permissions: contents: write packages: write	release-artifacts	90		GITHUB_TOKEN,NPM_TOKEN	deployment-or-mutation	4137
reproducible-builds.yml	Reproducible Builds	pull_request,push,schedule,workflow_dispatch	build-1,build-2,compare	Build Attempt 1,Build Attempt 2,Compare Build Outputs	0 6 * * 1	reproducible-builds-${{ github.ref }}		permissions: contents: read	reproducible-builds	30			read-only	8391
reusable-node-setup.yml	Reusable Node Setup	workflow_call	setup	Reusable Node Setup				permissions: contents: read					read-only	2342
sbom-generation.yml	SBOM Generation	push,release,schedule,workflow_dispatch	generate,verify	Generate SBOM,Verify SBOM	0 3 * * 1	sbom-generation-${{ github.ref }}		permissions: contents: write security-events: write	sbom	90		GITHUB_TOKEN	write-capable	5620
sbom.yml	SBOM	push,schedule,workflow_dispatch	backend-sbom,frontend-sbom,publish,verify	Backend SBOM,Frontend SBOM,Publish SBOM,Verify SBOM	0 6 * * 1	sbom-${{ github.ref }}		permissions: contents: write security-events: write	sbom-artifacts	90		GITHUB_TOKEN	write-capable	4997
secrets-elimination.yml	Secrets Elimination	pull_request,push,schedule,workflow_dispatch	bundle-scan,repo-scan,summary	Bundle Secret Scan,Repository Secret Scan,Secrets Elimination Summary	0 7 * * *	secrets-elimination-${{ github.ref }}		permissions: contents: read security-events: write	secret-scan-results	30			write-capable	8923
security-hardening.yml	Security Hardening	pull_request,push,schedule,workflow_dispatch	container-scan,dependency-scan,security-summary,secret-scan	Container Scan,Dependency Scan,Security Summary,Secret Scan	0 2 * * 0	security-hardening-${{ github.ref }}		permissions: contents: read security-events: write	security-hardening-results	30			write-capable	6221
self-documenting-platform.yml	Self-Documenting Platform	push,schedule,workflow_dispatch	generate	Generate Platform Documentation	0 2 * * 1	self-documenting-platform		permissions: contents: write	platform-documentation	30		GITHUB_TOKEN	write-capable	10698
self-healing-v2.yml	Self Healing v2	schedule,workflow_dispatch	heal	Execute Self-Healing Routine	*/30 * * * *	self-healing-v2	production	permissions: contents: write deployments: write issues: write	self-healing-evidence	30		GITHUB_TOKEN,RAILWAY_TOKEN	deployment-or-mutation	11592
sla-reporting.yml	SLA Reporting	schedule,workflow_dispatch	report	Generate SLA Report	0 9 1 * *	sla-reporting		permissions: contents: read issues: write	sla-report	365			write-capable	9903
stale-pr-cleanup.yml	Stale PR Cleanup	schedule,workflow_dispatch	cleanup	Clean Up Stale PRs	0 9 * * *	stale-pr-cleanup		permissions: contents: read pull-requests: write				GITHUB_TOKEN	write-capable	2225
supabase-edge-functions.yml	Supabase Edge Functions	pull_request,push	deploy,typecheck	Deploy Edge Functions,Typecheck Edge Functions		supabase-edge-${{ github.ref }}	production	permissions: contents: read	edge-functions-deploy-evidence	30		SUPABASE_ACCESS_TOKEN,SUPABASE_PROJECT_ID	deployment-or-mutation	3990
terraform-aws.yml	Terraform AWS	workflow_dispatch	terraform	Terraform AWS		terraform-aws-${{ github.run_id }}	production	permissions: contents: read id-token: write	terraform-plan	30		AWS_ROLE_ARN	deployment-or-mutation	767
terraform.yml	Terraform	pull_request,push,workflow_dispatch	apply,plan,security	Terraform Apply,Terraform Plan,Terraform Security Scan		terraform-${{ github.ref }}	production,staging	permissions: contents: read id-token: write pull-requests: write	terraform-plan	30		AWS_ROLE_ARN,TF_API_TOKEN	deployment-or-mutation	18380
testing.yml	D3VONN.IO Testing	pull_request,push,workflow_dispatch	backend-tests,e2e-tests,frontend-tests,integration-tests,lint,typecheck	Backend Tests,E2E Tests,Frontend Tests,Integration Tests,Lint,Typecheck		testing-${{ github.ref }}		permissions: contents: read	test-results	14			read-only	6434
threat-intelligence.yml	Threat Intelligence	push,schedule,workflow_dispatch	cve-feed,report,scan,validate	CVE Feed Refresh,Threat Intelligence Report,Threat Scan,Validate Threat Intelligence Configuration	0 6 * * *	threat-intelligence		permissions: contents: read issues: write	threat-intelligence-report	30			write-capable	11648
trusted-build.yml	Trusted Build	pull_request,push,workflow_dispatch	attest,build,verify	Attest Build,Trusted Build,Verify Build		trusted-build-${{ github.ref }}		permissions: contents: read id-token: write packages: write	trusted-build-artifacts	90			write-capable	6664
trusted-runner-isolation.yml	Trusted Runner Isolation	pull_request,push,schedule,workflow_dispatch	isolation-check,runner-audit	Runner Audit,Trusted Runner Isolation Check	0 8 * * 1	trusted-runner-${{ github.ref }}		permissions: contents: read	trusted-runner-results	30			read-only	9634
usage-analytics.yml	Usage Analytics	schedule,workflow_dispatch	collect,report	Collect Usage Analytics,Generate Usage Report	0 6 * * *	usage-analytics		permissions: contents: read issues: write	usage-analytics-report	30		ANALYTICS_API_KEY	write-capable	8575
validate-actions.yml	Validate Action References	pull_request,push	validate	Validate Action References		validate-actions-${{ github.ref }}		permissions: contents: read					read-only	8378
validate-secrets.yml	Validate Secrets	push,workflow_dispatch	validate	Validate Secret Presence		validate-secrets-${{ github.ref }}	production	permissions: contents: read				OPENAI_API_KEY,PINECONE_API_KEY,RAILWAY_TOKEN,RESEND_API_KEY,SUPABASE_SERVICE_ROLE_KEY,VERCEL_TOKEN	read-only	2944
vault-secrets-injection.yml	Vault Secrets Injection	push,workflow_call,workflow_dispatch	inject,verify	Inject Secrets,Verify Secret Injection		vault-secrets-${{ github.ref }}	production	permissions: contents: read id-token: write				VAULT_ADDR,VAULT_ROLE	write-capable	7394
workflow-audit-refresh-validation.yml	Workflow Audit Refresh Validation	pull_request,workflow_dispatch	validate	Validate workflow audit inventory		workflow-audit-refresh-${{ github.event.pull_request.number || github.ref }}		permissions: contents: read	workflow-audit-inventory	14			read-only	1872
workflow-optimizer.yml	Workflow Optimizer	schedule,workflow_dispatch	analyze	Analyze Workflow Optimization Opportunities	0 4 * * 0	workflow-optimizer		permissions: actions: read contents: read issues: write	workflow-optimization-report	30		GITHUB_TOKEN	write-capable	5979
zero-downtime-migration.yml	Zero Downtime Migration	push,workflow_dispatch	migrate	Execute Zero-Downtime Migration		zero-downtime-migration-${{ github.run_id }}	production	permissions: contents: read deployments: write	migration-evidence	90		SUPABASE_ACCESS_TOKEN,SUPABASE_DB_PASSWORD	deployment-or-mutation	8921
