workflow	has_top_perms	write_all	id_token_write	contents_write	actions_write	packages_write	secret_refs	secret_names	flags
commitlint.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
compliance-audit-export.yml	yes	no	no	no	no	no	0	-	-
container-hardening.yml	yes	no	yes	no	no	yes	0	-	-
cosign-sign-verify.yml	yes	no	yes	no	no	yes	0	-	-
cost-attribution.yml	yes	no	no	yes	no	no	4	AWS_ACCESS_KEY_ID,AWS_DEFAULT_REGION,AWS_SECRET_ACCESS_KEY,GITHUB_TOKEN	-
cost-optimization.yml	no	no	yes	no	no	no	3	AWS_ROLE_ARN,INFRACOST_API_KEY,SLACK_WEBHOOK_COSTS	NO_TOP_PERMS
coverage-enforcement.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
coverage.yml	no	no	no	no	no	no	1	CODECOV_TOKEN	NO_TOP_PERMS
create-project-board.yml	yes	no	no	no	no	no	0	-	-
dependabot-auto-merge-guard.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
dependency-auto-fix.yml	yes	no	no	yes	no	no	1	GITHUB_TOKEN	-
dependency-review.yml	yes	no	no	no	no	no	0	-	-
deploy-and-publish.yml	yes	no	no	no	no	no	10	CHROME_CLIENT_ID,CHROME_CLIENT_SECRET,CHROME_EXTENSION_ID,CHROME_REFRESH_TOKEN,GITHUB_TOKEN,JWT_SECRET,OPENAI_API_KEY,SLACK_WEBHOOK_URL,SNYK_TOKEN,VERCEL_PREVIEW_URL	SECRET_HEAVY
deploy.yml	no	no	no	no	no	no	7	CHROME_CLIENT_ID,CHROME_CLIENT_SECRET,CHROME_EXTENSION_ID,CHROME_REFRESH_TOKEN,GITHUB_TOKEN,OPENAI_API_KEY,SLACK_WEBHOOK_URL	NO_TOP_PERMS,SECRET_HEAVY
deployment-promotion.yml	yes	no	yes	no	no	no	0	-	-
developer-onboarding.yml	yes	no	no	yes	no	no	0	-	-
d3vonn-deploy.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
disaster-recovery-drill.yml	yes	no	no	no	no	no	0	-	-
dora-metrics.yml	yes	no	no	yes	no	no	1	GITHUB_TOKEN	-
e2e-smoke-tests.yml	yes	no	no	no	no	no	1	STAGING_API_TOKEN	-
e2e.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
ebpf-telemetry.yml	yes	no	no	no	no	no	0	-	-
edge-functions-typecheck.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
eks-deploy-oidc.yml	yes	no	yes	no	no	no	0	-	-
falco-runtime-detection.yml	yes	no	no	no	no	no	0	-	-
feature-flags-db-safety.yml	yes	no	no	no	no	no	0	-	-
final-green-check.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
gitops-reconciliation.yml	yes	no	no	no	no	no	0	-	-
governance-drift.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
hermes-gate.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
hermes-v3-gate.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
iac-drift-detection.yml	no	no	yes	no	no	no	2	AWS_ROLE_ARN,SLACK_WEBHOOK_OPS	NO_TOP_PERMS
incident-response.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
infrastructure-ci-cd.yml	no	no	yes	no	no	no	6	AWS_ACCESS_KEY_ID,AWS_REGION,AWS_ROLE_ARN,AWS_SECRET_ACCESS_KEY,GITHUB_TOKEN,RDS_DB_PASSWORD	NO_TOP_PERMS,SECRET_HEAVY
issue-tracker-sync.yml	yes	no	no	no	no	no	6	JIRA_API_TOKEN,JIRA_BASE_URL,JIRA_EMAIL,JIRA_PROJECT_KEY,LINEAR_API_KEY,LINEAR_TEAM_ID	SECRET_HEAVY
issue-trigger.yml	no	no	no	yes	no	no	2	GH_TOKEN_WRITE,OPENAI_API_KEY	NO_TOP_PERMS
kyverno-admission.yml	yes	no	no	no	no	no	0	-	-
lighthouse.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
llm-cost-governance.yml	yes	no	no	no	no	no	0	-	-
load-test.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
lockfile-integrity.yml	yes	no	no	no	no	no	0	-	-
metrics-export.yml	yes	no	no	no	no	no	6	DD_API_KEY,DD_SITE,GITHUB_TOKEN,GRAFANA_CLOUD_API_KEY,GRAFANA_CLOUD_URL,PROMETHEUS_PUSHGATEWAY_URL	SECRET_HEAVY
ml-anomaly-detection.yml	yes	no	no	no	no	no	0	-	-
multi-cloud-cost-arbitrage.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
multi-env-promotion.yml	yes	no	yes	no	no	no	0	-	-
multi-region-failover.yml	yes	no	yes	no	no	no	3	API_URL_EU_WEST,API_URL_US_EAST,PRIMARY_API_URL	-
mutation-tests.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
notifications.yml	yes	no	no	no	no	no	2	SLACK_WEBHOOK_URL,TEAMS_WEBHOOK_URL	-
observability.yml	yes	no	no	no	no	no	0	-	-
oidc-deploy.yml	yes	no	yes	no	no	no	8	AWS_OIDC_ROLE_ARN,AZURE_CLIENT_ID,AZURE_SUBSCRIPTION_ID,AZURE_TENANT_ID,CLOUDFLARE_ACCOUNT_ID,CLOUDFLARE_API_TOKEN,GCP_SERVICE_ACCOUNT,GCP_WORKLOAD_IDENTITY_PROVIDER	SECRET_HEAVY
performance-regression.yml	yes	no	no	no	no	no	0	-	-
platform-control-plane.yml	yes	no	no	yes	yes	no	1	GITHUB_TOKEN	-
platform-graduation.yml	yes	no	no	yes	no	no	1	GITHUB_TOKEN	-
platform-health-dashboard.yml	yes	no	yes	yes	no	no	0	-	DEPLOY_CAPABLE
policy-as-code.yml	yes	no	no	no	no	no	0	-	-
pr-automation.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
predictive-failure-detection.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
promotion.yml	no	no	no	no	no	no	5	SLACK_WEBHOOK_DEPLOYS,VERCEL_ORG_ID,VERCEL_PROJECT_ID,VERCEL_TOKEN,VITE_SENTRY_DSN	NO_TOP_PERMS,SECRET_HEAVY
release-notes.yml	yes	no	no	yes	no	no	1	GITHUB_TOKEN	-
release.yml	yes	no	yes	yes	no	no	3	GH_PAT,GITHUB_TOKEN,NPM_TOKEN	DEPLOY_CAPABLE
reproducible-builds.yml	yes	no	yes	no	no	no	0	-	-
reusable-node-setup.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
sbom-generation.yml	yes	no	yes	yes	no	no	0	-	DEPLOY_CAPABLE
sbom.yml	no	no	yes	yes	no	no	0	-	NO_TOP_PERMS,DEPLOY_CAPABLE
secrets-elimination.yml	yes	no	no	no	no	no	0	-	-
security-hardening.yml	yes	no	no	no	no	no	0	-	-
self-documenting-platform.yml	yes	no	no	yes	no	no	1	GITHUB_TOKEN	-
self-healing-v2.yml	yes	no	no	yes	yes	no	1	GITHUB_TOKEN	-
sla-reporting.yml	yes	no	no	yes	no	no	1	GITHUB_TOKEN	-
stale-pr-cleanup.yml	no	no	no	no	no	no	1	GITHUB_TOKEN	NO_TOP_PERMS
supabase-edge-functions.yml	no	no	no	no	no	no	3	SUPABASE_ACCESS_TOKEN,SUPABASE_ANON_KEY,SUPABASE_PROJECT_ID	NO_TOP_PERMS
terraform-aws.yml	yes	no	yes	no	no	no	1	AWS_ROLE_ARN	-
terraform.yml	yes	no	yes	no	no	yes	14	AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY,AZURE_CLIENT_ID,AZURE_CLIENT_SECRET_VALUE,AZURE_STORAGE_ACCOUNT,AZURE_STORAGE_CONNECTION_STRING,AZURE_SUBSCRIPTION_ID,AZURE_TENANT_ID,EMAIL_PASSWORD,EMAIL_USERNAME,GCP_CREDENTIALS_JSON,GITHUB_TOKEN,NOTIFICATION_EMAIL,SLACK_WEBHOOK_URL	SECRET_HEAVY
testing.yml	no	no	no	no	no	no	3	CODECOV_TOKEN,OPENAI_API_KEY,SNYK_TOKEN	NO_TOP_PERMS
threat-intelligence.yml	yes	no	no	no	no	no	0	-	-
trusted-build.yml	yes	no	yes	no	no	yes	0	-	-
trusted-runner-isolation.yml	yes	no	yes	no	no	no	0	-	-
usage-analytics.yml	yes	no	no	yes	no	no	0	-	-
validate-actions.yml	yes	no	no	no	no	no	0	-	-
validate-secrets.yml	no	no	no	no	no	no	12	CODECOV_TOKEN,OPENAI_API_KEY,SENTRY_AUTH_TOKEN,SENTRY_DSN,SNYK_TOKEN,SUPABASE_ACCESS_TOKEN,SUPABASE_PROJECT_ID,VERCEL_ORG_ID,VERCEL_PROJECT_ID,VERCEL_TOKEN,VITE_SUPABASE_ANON_KEY,VITE_SUPABASE_URL	NO_TOP_PERMS,SECRET_HEAVY
vault-secrets-injection.yml	yes	no	yes	no	no	no	0	-	-
workflow-optimizer.yml	yes	no	no	no	no	no	0	-	-
zero-downtime-migration.yml	yes	no	no	no	no	no	0	-	-
